Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	UPF3B.KO_1	UPF3B.KO_2	UPF3B.KO_3	UPF3B.KO_4	UPF3B.KO_5	UPF3B.KO_6
RENO1	2.07827053145848	2.13302349688687	2.36092883044906	2.09038413803747	1.89077249102982	2.33139567412124	1.87568141786356	1.78877045661382	1.76417530015982	1.54864018007431	1.98832615814447	1.60475121577405
CNTNAP3P7	0.619023097867615	0.450287747035644	0.411625694865068	0.432327205161327	0.797364826643805	0.407769527721881	0.700152626654324	0.451990892112981	0.457158447576789	0.668493196129335	0.629894269322879	0.767594253499968
HPS1-AS1	0.32874586390075	0.424268447787951	0.332241327831033	0.607969700857959	0.376634478007768	0.38585645696229	0.625620029399556	0.653625553302159	0.366406150991079	0.617674877006113	0.568150618773333	0.510338052009892
LINC03124	3.13053706349098	2.95236235556185	3.01253642107487	3.00743625560067	3.06004508611124	2.99263916120632	3.18562661518106	3.05958142892782	3.0852783884543	3.04229064012638	2.9379209802767	2.83570843798914
LINC02993	0.60391925194966	0.370778278822968	0.860564320246653	0.657442163480243	0.579726559532523	0.552493983486199	0.764722307468225	0.672962109407387	0.623146357768822	0.689736190369693	0.745978320412254	0.840146660578742
ACAD9-DT	0.32874586390075	0.227674479088438	0.361616251680261	0.26913805301425	0.367884716177383	0.302534800747537	0.456103127207317	0.414188696564709	0.594352737400438	0.411502992319298	0.575142972720394	0.402663704427124
PRSS43P	0.153112018196386	0.112904039129526	0.248233173492714	0	0.150434305404344	0.128720693907665	0.209352502157078	0.0202725120982192	0.0217892172329903	0.0879659922929681	0.166659245974253	0.0619859824740518
PM20D1-AS1	2.17342104605871	2.36500501075591	2.36637324727111	2.25094332830474	2.36754836714468	2.24882283664756	2.69451416410793	2.476046130794	2.60110580338055	2.63286001347797	2.53719863107032	2.59662635581051
PARTICL	2.00829623327364	1.64743157253709	1.91492990825342	1.87724755177038	1.87233070297223	1.91573089128407	1.79450326458775	1.94274200222886	2.08453495514478	2.10193532882253	2.21115813264996	2.15022597491647
H3C2	3.1252574814128	3.11029401400512	3.02979430350058	2.88520334396531	2.9573422785623	3.14173762301203	2.88664752640274	2.95946254035126	3.0299062889962	2.89307497619955	2.87556640417696	2.87220959394192
ARMCX5-GPRASP2	0.132208864000291	0.145121372229564	0.142200498336833	0.232297610714172	0.210395178236623	0.318046518091828	0.162192026330744	0.163864149492776	0.155921755070198	0.314549959386604	0.138613111684969	0.345654881058574
NOTCH2NLC	4.97189464292158	4.77390335180315	4.98820622328482	4.87666676841655	4.96564695578351	4.9299635192794	5.36074547312798	5.30421956834991	5.30437080372416	5.38227734947434	5.35856488665785	5.30545136674009
COPG2IT1	2.19373965229288	2.15955189077632	2.49786042486002	2.597228959597	2.17784244340208	2.25084479066962	2.30492342892953	2.17068745948059	2.30935620106145	2.16649674083585	1.91029819102484	2.27105874764376
CPLANE1-AS1	0.509816790924145	0.573778763227777	0.271633878286261	0.391140096193993	0.609723728047042	0.526023638802747	0.424475873478998	0.573578492813826	0.594352737400438	0.461762932021564	0.324368062847068	0.684646429869052
FLICR	0.533924072889659	0.296225886133007	0.532785099439379	0.464450695568378	0.587284527280118	0.363605408807875	0.856461752786874	0.759923014779801	0.449140129551946	0.518268742527307	0.221167015648705	0.18779601537865
BMS1P23	1.97052251373672	2.19075517972427	2.17488166081477	2.00559677011602	2.36535209751049	2.10645815086014	2.48243498320982	2.08185408243701	2.36155266493251	2.34223403620318	2.27481757112223	2.48603737516405
RUNX1-AS1	0.223976338746272	0.343270618115023	0.263875740656527	0.30506112068581	0.594803106724141	0.238764308133398	0.272889805287502	0.269260454834946	0.504354441774578	0.332669334823927	0.265067998929515	0.303509395158383
SPDYE14	1.1938368083205	1.53440329321336	1.61601312706459	1.45388463868041	1.20851244049967	1.22642386901527	1.73773039106984	1.45819912154076	1.49493918707885	1.69238568415209	1.3659863936749	1.74046500897539
NOTCH2NLR	0.460359004382755	0.450287747035644	0.347003551852071	0.241596291528939	0.350224366467994	0.591310556250446	0.26398257873142	0.436988664660652	0.651376535787987	0.428451600030729	0.349054725821294	0.532401558534845
SPDYE13	1.21883747586384	1.54651511863041	1.55692382236871	1.48944502653372	1.41373145303702	1.3179872230967	1.73128214273847	1.56900131461954	1.30364291333588	1.71328228466024	1.41747070756703	1.71817956426412
NOTCH2NLB	1.08926251640636	0.839643180471607	1.33424534060134	1.18174180356191	0.969182463484102	1.03320054938868	1.07591415964735	1.21606423832925	0.981075831446101	1.10258343154391	1.09147623834778	1.4316420376001
SPDYE15	1.40026177815363	1.70979306535036	1.69602544642805	1.60922366511379	1.53983452731208	1.44351316382096	1.91034453746805	1.71295454389344	1.56339371191532	1.79396737004197	1.52970467379376	1.89320441106567
NIPBL-DT	4.65721305882708	4.6022519845911	4.59714440471637	4.67738012235206	4.75195032595484	4.60472029049968	4.41844596858151	4.26608729129871	4.39779191041985	4.33509716489175	4.26756512842323	4.23114227076863
KCNQ5-DT	0.828437352808386	0.475846084187949	0.6564535765494	0.51133335494625	0.587284527280118	0.684014822704491	0.942714725349665	0.864540364791578	0.797479143729632	0.744900910966325	0.682643465164393	0.736253073004193
